,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[200],0.247,0.106,0.073,0.447,0.001,0.001,9564.0,4600.0,1.0
p[201],0.421,0.137,0.162,0.668,0.001,0.002,9288.0,5044.0,1.0
p[202],0.422,0.137,0.187,0.687,0.001,0.001,9781.0,5004.0,1.0
p[203],0.297,0.118,0.095,0.521,0.001,0.001,9499.0,5164.0,1.0
p[204],0.053,0.039,0.003,0.126,0.001,0.001,5310.0,4444.0,1.0
p[205],0.414,0.136,0.175,0.673,0.001,0.002,9433.0,4979.0,1.0
p[206],0.227,0.097,0.07,0.416,0.001,0.001,9489.0,4492.0,1.0
p[207],0.13,0.067,0.027,0.255,0.001,0.001,9727.0,4577.0,1.0
p[208],0.123,0.067,0.018,0.246,0.001,0.001,8105.0,4441.0,1.0
p[209],0.243,0.107,0.063,0.442,0.001,0.001,9705.0,5208.0,1.0
p[210],0.566,0.147,0.301,0.838,0.002,0.002,8594.0,4630.0,1.0
p[211],0.425,0.142,0.175,0.698,0.002,0.002,6915.0,4276.0,1.0
p[212],0.332,0.124,0.124,0.569,0.001,0.002,9012.0,4959.0,1.0
p[213],0.455,0.144,0.2,0.728,0.002,0.002,7795.0,4430.0,1.0
p[214],0.212,0.095,0.058,0.388,0.001,0.001,9405.0,4679.0,1.0
p[215],0.249,0.106,0.067,0.446,0.001,0.002,9505.0,4518.0,1.0
p[216],0.567,0.153,0.283,0.835,0.002,0.002,7628.0,4512.0,1.0
p[217],0.536,0.136,0.277,0.776,0.001,0.002,9040.0,4700.0,1.0
p[218],0.421,0.132,0.183,0.664,0.001,0.002,9948.0,5032.0,1.0
p[219],0.654,0.13,0.42,0.891,0.001,0.002,8930.0,4325.0,1.0
p[220],0.11,0.07,0.009,0.239,0.001,0.001,5190.0,4320.0,1.0
p[221],0.609,0.132,0.35,0.837,0.001,0.001,8885.0,5142.0,1.0
p[222],0.395,0.127,0.157,0.629,0.001,0.002,9576.0,4765.0,1.0
p[223],0.703,0.131,0.453,0.92,0.001,0.002,8507.0,4782.0,1.0
p[224],0.238,0.104,0.055,0.427,0.001,0.001,8056.0,4559.0,1.0
p[225],0.415,0.131,0.17,0.66,0.001,0.002,9067.0,4469.0,1.0
p[226],0.653,0.13,0.416,0.884,0.001,0.001,8259.0,4860.0,1.0
p[227],0.316,0.12,0.097,0.534,0.001,0.001,9822.0,4979.0,1.0
p[228],0.424,0.131,0.184,0.669,0.001,0.002,8637.0,4395.0,1.0
p[229],0.658,0.127,0.423,0.877,0.001,0.002,8989.0,4294.0,1.0
p[230],0.909,0.056,0.807,0.99,0.001,0.001,7645.0,4685.0,1.0
p[231],0.778,0.098,0.588,0.931,0.001,0.001,10061.0,5200.0,1.0
p[232],0.818,0.085,0.657,0.957,0.001,0.001,8276.0,4765.0,1.0
p[233],0.851,0.078,0.708,0.972,0.001,0.001,9064.0,4760.0,1.0
p[234],0.888,0.063,0.773,0.983,0.001,0.001,8602.0,5019.0,1.0
p[235],0.888,0.063,0.769,0.981,0.001,0.001,9073.0,4829.0,1.0
p[236],0.454,0.166,0.144,0.751,0.002,0.002,5604.0,4581.0,1.0
p[237],0.873,0.069,0.748,0.978,0.001,0.001,7784.0,5044.0,1.0
p[238],0.812,0.091,0.638,0.957,0.001,0.001,8460.0,4691.0,1.0
p[239],0.903,0.057,0.801,0.988,0.001,0.001,7869.0,3171.0,1.0
p[240],0.888,0.065,0.769,0.985,0.001,0.001,6184.0,4426.0,1.0
p[241],0.752,0.108,0.543,0.926,0.001,0.001,9710.0,4663.0,1.0
p[242],0.844,0.079,0.698,0.966,0.001,0.001,7826.0,5007.0,1.0
p[243],0.9,0.061,0.79,0.988,0.001,0.001,6966.0,4772.0,1.0
p[244],0.806,0.093,0.634,0.955,0.001,0.001,8755.0,5315.0,1.0
p[245],0.783,0.099,0.599,0.949,0.001,0.001,9017.0,4837.0,1.0
p[246],0.79,0.099,0.611,0.946,0.001,0.001,7464.0,4697.0,1.0
p[247],0.921,0.048,0.833,0.991,0.001,0.001,8044.0,4445.0,1.0
p[248],0.645,0.134,0.381,0.872,0.001,0.002,8733.0,5016.0,1.0
